video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
151079c6-6f48-537e-81fa-041464800ffe,c43cf9fa-6f88-54d6-be70-0d6ede4e1246,Other,same_site_diff_session,0.7147,0.5451,0.8911,0.6564,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,d1d24a75-7e20-5eb9-aee5-03579841f7ab,Other,same_site_diff_session,0.7124,0.6194,0.8264,0.683,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,d5d91393-cb7e-5f9e-9e29-97fda46fefbd,Other,same_site_diff_session,0.7443,0.6466,0.8009,0.7039,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,f120d01b-96cc-52ff-935b-7e2a93f4c297,Other,same_site_diff_session,0.6516,0.5479,0.8734,0.633,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,f31c3bed-0fdd-5d48-b670-987b6fad70a9,Other,same_site_diff_session,0.7665,0.623,0.8688,0.7101,100.0,SAME_ENV
151079c6-6f48-537e-81fa-041464800ffe,f6ee5ec0-d3a1-5e59-a930-1a33af1e2ad1,Other,same_site_diff_session,0.7968,0.6344,0.8914,0.7298,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,1e61b863-2f7d-52f3-9f49-3b9f2b1a1f2b,Other,same_site_diff_session,0.7845,0.6887,0.8194,0.7419,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,27cc78b0-9192-54aa-8573-d145d4dae9cd,Other,same_site_diff_session,0.9206,0.747,0.8797,0.8276,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,53ba4a7b-25c0-5c51-a977-4cb2cdafea87,Other,same_site_diff_session,0.9363,0.8367,0.918,0.8837,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,6c1204e1-7691-5f1d-8aea-4428eb5619f3,Other,same_site_diff_session,0.8759,0.7655,0.8803,0.8214,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,8180724b-ba70-50b7-bd5d-42909a66a19a,Other,same_site_diff_session,0.8789,0.776,0.8724,0.8265,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,9b87161f-9e72-5674-894f-2960c03fe2be,Other,same_site_diff_session,0.7914,0.7143,0.8093,0.7555,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,aaa3da05-e144-5d8a-b164-dc82323a7dd2,Other,same_site_diff_session,0.761,0.6554,0.8164,0.7165,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,d1d24a75-7e20-5eb9-aee5-03579841f7ab,Other,same_site_diff_session,0.8783,0.783,0.8691,0.8293,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,d5d91393-cb7e-5f9e-9e29-97fda46fefbd,Other,same_site_diff_session,0.9102,0.8352,0.8916,0.8699,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,f120d01b-96cc-52ff-935b-7e2a93f4c297,Other,same_site_diff_session,0.6878,0.6065,0.7932,0.663,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,f31c3bed-0fdd-5d48-b670-987b6fad70a9,Other,same_site_diff_session,0.9039,0.7776,0.8951,0.8394,100.0,SAME_ENV
1666dd10-d00b-5f35-836c-58e31f691f97,f6ee5ec0-d3a1-5e59-a930-1a33af1e2ad1,Other,same_site_diff_session,0.8611,0.7428,0.8694,0.8032,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,26912f97-cc83-5c2f-a2e7-686c6b3bf649,Other,same_site_diff_session,0.8599,0.6154,0.9496,0.7511,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,31533fea-0789-5c61-a095-046e694eed27,Other,same_site_diff_session,0.8043,0.5607,0.9317,0.7016,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,4113eb7a-2c99-5b4d-ac16-913f679adeeb,Other,same_site_diff_session,0.7887,0.5925,0.9287,0.7116,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,4daf8fb8-1909-5c6f-8e0c-c0f61822cc93,Other,same_site_diff_session,0.8646,0.6103,0.9495,0.7502,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,4f94773d-5d9d-5c77-98b5-2fb0b3b9fff6,Other,same_site_diff_session,0.855,0.5757,0.9509,0.7297,100.0,SAME_ENV
19a562bb-aac3-5aae-af05-10d00ef0754a,564eb16a-ccfe-5bf9-bad0-042cbf31feeb,Other,same_site_diff_session,0.8113,0.5807,0.9362,0.7147,100.0,SAME_ENV
